Date,Close,대비,등락률,Open,High,Low,Volume,거래대금,시가총액,상장주식수,RSI,RSI_9,OBV,MA5,MA20,MA60,OBV_20
2023-05-30,2290,-4,-0.19,2294,2345,2256,26977,73000815,24992476725,9308185,55.97381342062193,82.1917808219178,245352,2302.0,,,
2023-05-31,2277,-13,-0.56,2298,2341,2269,45080,121043825,24852853950,9308185,53.15614617940199,72.53521126760563,200272,2296.8,2275.6,,178997.15
2023-06-01,2311,34,1.5,2277,2316,2252,28646,76803960,25225181350,9308185,53.846153846153854,73.28767123287672,228918,2295.8,2279.65,,190443.05
2023-06-02,2669,358,15.5,2311,3002,2294,8396490,27709648925,29134619050,9308185,65.94202898550725,92.26190476190476,8625408,2368.2,2300.1,,620106.1
2023-06-05,2644,-25,-0.96,2627,2977,2567,1919876,6196637930,28855373500,9308185,62.51526251526251,87.5,6705532,2438.2,2318.85,,952697.85
2023-06-07,2601,-43,-1.61,2644,2652,2533,336523,1020464390,28389964250,9308185,82.7140549273021,79.1015625,6369009,2500.4,2336.55,,1269414.4
2023-06-08,2516,-85,-3.28,2597,2597,2482,205287,604534370,27459145750,9308185,72.05240174672488,67.12328767123287,6163722,2548.2,2351.5,,1577305.1
2023-06-09,2533,17,0.68,2516,2618,2469,169505,501925755,27645309450,9308185,71.513353115727,69.08783783783784,6333227,2592.6,2366.2,,1892597.95
2023-06-12,2525,-8,-0.34,2529,2529,2452,77475,227256730,27552227600,9308185,70.67448680351906,69.6763202725724,6255752,2563.8,2379.25,,2203155.95
2023-06-13,2563,38,1.52,2550,2610,2512,141982,425660720,27971095925,9308185,71.55049786628734,71.98067632850241,6397734,2547.6,2387.15,,2512072.5
2023-06-14,2482,-81,-3.16,2563,2563,2482,77194,226601475,27086818350,9308185,62.07827260458839,64.87663280116111,6320540,2523.8,2389.3,,2812919.2
2023-06-15,2567,85,3.44,2482,2627,2482,154897,464618585,28017636850,9308185,65.43665436654366,67.29729729729729,6475437,2534.0,2407.85,,3127145.75
